wiktionary-cldr-merge	tam	http://wiktionary.org/	CC BY-SA
06952572-n	tam:lemma	டச்சு	
06952572-n	tam:lemma	மொழி	
06954048-n	tam:lemma	டேனிஷ்	
06958255-n	tam:lemma	பின்னிஷ்	
06964247-n	tam:lemma	இத்தாலியன்	
06964901-n	tam:lemma	ஃப்ரெஞ்ச்	
06966310-n	tam:lemma	போர்ச்சுகீஸ	
06966825-n	tam:lemma	எசுப்பானிய	
06966825-n	tam:lemma	மொழி	
06969129-n	tam:lemma	சமசுகிருதம்	
06970103-n	tam:lemma	ஹிந்தி	
06970946-n	tam:lemma	வங்காள	
06970946-n	tam:lemma	மொழி	
06971741-n	tam:lemma	சிங்களம்	
06973334-n	tam:lemma	பாளி	
06976392-n	tam:lemma	கிரேக்கம்	
06978068-n	tam:lemma	டொரிக்	
06979957-n	tam:lemma	கன்னடம்	
06980085-n	tam:lemma	துலு	
06980175-n	tam:lemma	மலயாளம்	
06980315-n	tam:lemma	தமிழ்	
06980721-n	tam:lemma	தெலுங்கு	
07020895-n	tam:lemma	சங்கீதம்	
07020895-n	tam:lemma	இசை	
07048000-n	tam:lemma	பாட்டு	
07051851-n	tam:lemma	தாலாட்டு	
07086518-n	tam:lemma	தாளம்	
07092592-n	tam:lemma	கவிதை	
07097094-n	tam:lemma	மோனை	
07128692-n	tam:lemma	உச்சரிப்பு	
07153838-n	tam:lemma	பழமொழி	
07160424-n	tam:lemma	சாபம்	
07169970-n	tam:lemma	பத்துக்	
07169970-n	tam:lemma	கட்டளைகள்	
07196682-n	tam:lemma	கேள்வி	
07228971-n	tam:lemma	நன்றி	
07248801-n	tam:lemma	விளம்பரம்	
07277915-n	tam:lemma	பாக்	
07279285-n	tam:lemma	தொடர்பு	
07296428-n	tam:lemma	மாற்றம்	
07305907-n	tam:lemma	நரகம்	
07309599-n	tam:lemma	முறை	
07319103-n	tam:lemma	வெற்றி	
07349299-n	tam:lemma	ஆழிப்பேரலை	
07349299-n	tam:lemma	சுனாமி	
07355491-n	tam:lemma	மரணம்	
07453638-n	tam:lemma	முடிசூட்டு	
07453638-n	tam:lemma	விழா	
07457126-n	tam:lemma	ஒலிம்பிக்	
07457126-n	tam:lemma	விளையாட்டுக்கள்	
07461288-n	tam:lemma	தகுதிச்சுற்று	
07473441-n	tam:lemma	வெற்றி	
07496463-n	tam:lemma	வேத்னைப்படுதல்	
07508705-n	tam:lemma	தற்பெருமை	
07527352-n	tam:lemma	இன்பம்	
07541053-n	tam:lemma	நம்பிக்கை	
07543288-n	tam:lemma	அன்பு	
07543288-n	tam:lemma	பாசம்	
07555014-n	tam:lemma	உத்வேகம்	
07560193-n	tam:lemma	துரித	
07560193-n	tam:lemma	உணவு	
07574602-n	tam:lemma	காலையுண்டி	
07601809-n	tam:lemma	கேரமல்	
07601999-n	tam:lemma	சாக்கலேட்	
07614500-n	tam:lemma	ஐஸ்	
07614500-n	tam:lemma	கிரீம்	
07628870-n	tam:lemma	கேக்	
07640203-n	tam:lemma	தோசை	
07644967-n	tam:lemma	கோழி	
07647496-n	tam:lemma	கௌதாரி	
07649854-n	tam:lemma	இறைச்சி	
07675627-n	tam:lemma	தொத்திறைச்சி	
07679356-n	tam:lemma	ரொட்டி	
07680932-n	tam:lemma	பொங்கியப்பம்	
07684289-n	tam:lemma	நான்	
07704205-n	tam:lemma	கஞ்சி	
07710616-n	tam:lemma	ஒருமை	
07712063-n	tam:lemma	வத்தாளைக்	
07712063-n	tam:lemma	கிழங்கு	
07718472-n	tam:lemma	வெள்ளரிக்காய்	
07734017-n	tam:lemma	தக்காளி	
07734744-n	tam:lemma	காளான்	
07739125-n	tam:lemma	ஆப்பழம்	
07743544-n	tam:lemma	அவுரிநெல்லி	
07745940-n	tam:lemma	செம்புற்றுப்பழம்	
07745940-n	tam:lemma	ஸ்ட்ராபெரி	
07747607-n	tam:lemma	ஆரஞ்சு	
07749582-n	tam:lemma	எலுமிச்சம்	
07749582-n	tam:lemma	பழம்	
07757132-n	tam:lemma	சேலாப்பழம்	
07758680-n	tam:lemma	திராட்சை	
07758680-n	tam:lemma	பழம்	
07762244-n	tam:lemma	பப்பாளி	
07767847-n	tam:lemma	பேரிக்காய்	
07772147-n	tam:lemma	முந்திரி	
07804323-n	tam:lemma	அரிசி	
07804323-n	tam:lemma	சோறு	
07813107-n	tam:lemma	உப்பு	
07814925-n	tam:lemma	இஞ்சி	
07815588-n	tam:lemma	மிளகு	
07818277-n	tam:lemma	பூண்டு	
07821919-n	tam:lemma	மஞ்சள்	
07823951-n	tam:lemma	கறி	
07824988-n	tam:lemma	ஊறுகாய்	
07840804-n	tam:lemma	முட்டை	
07844042-n	tam:lemma	பால்	
07846471-n	tam:lemma	அமுக்கப்பட்ட	
07846471-n	tam:lemma	பால்	
07849336-n	tam:lemma	தயிர்	
07850329-n	tam:lemma	பாலாடைக்கட்டி	
07858595-n	tam:lemma	இனிக்கும்	
07858978-n	tam:lemma	தேன்	
07859284-n	tam:lemma	சக்கரை	
07873807-n	tam:lemma	வேகப்பம்	
07886849-n	tam:lemma	தோப்பி	
07891309-n	tam:lemma	ஜின்ஜர்	
07891309-n	tam:lemma	பியர்	
07891726-n	tam:lemma	வைன்	
07906111-n	tam:lemma	ஓட்கா	
07915618-n	tam:lemma	மதுக்கலவை	
07928790-n	tam:lemma	பெப்சி	
07929519-n	tam:lemma	காபி	
07932841-n	tam:lemma	தேநீர்	
07933274-n	tam:lemma	தேநீர்	
07956887-n	tam:lemma	கை	
07966140-n	tam:lemma	சமூகம்	
07970406-n	tam:lemma	குடும்பம்	
08023374-n	tam:lemma	ஹெஸ்புல்லா	
08032023-n	tam:lemma	தமிழீழ	
08032023-n	tam:lemma	விடுதலைப்	
08032023-n	tam:lemma	புலிகள்	
08050678-n	tam:lemma	அரசு	
08068375-n	tam:lemma	பாலிவுட்	
08081668-n	tam:lemma	சமயம்	
08095647-n	tam:lemma	இசுலாம்	
08166318-n	tam:lemma	நீதித்துறை	
08166552-n	tam:lemma	நாடு	
08168978-n	tam:lemma	தேசம்	
08238463-n	tam:lemma	வகுப்பு	
08267446-n	tam:lemma	ஆவர்த்தன	
08267446-n	tam:lemma	அட்டவணை	
08276720-n	tam:lemma	பள்ளி	
08295580-n	tam:lemma	ஐக்கிய	
08295580-n	tam:lemma	நாடுகள்	
08295580-n	tam:lemma	அவை	
08306047-n	tam:lemma	சாதி	
08336188-n	tam:lemma	உச்ச	
08336188-n	tam:lemma	நீதிமன்றம்	
08363812-n	tam:lemma	முடியாட்சி	
08366202-n	tam:lemma	சமவுடமை	
08432345-n	tam:lemma	வரிசை	
08438533-n	tam:lemma	காடு	
08438533-n	tam:lemma	வனம்	
08438533-n	tam:lemma	அடவி	
08438533-n	tam:lemma	கா	
08438533-n	tam:lemma	பொழில்	
08438533-n	tam:lemma	அரண்	
08438533-n	tam:lemma	புறவு	
08438533-n	tam:lemma	தில்லம்	
08438533-n	tam:lemma	கான்	
08438533-n	tam:lemma	கடறு	
08438533-n	tam:lemma	அழுவம்	
08438928-n	tam:lemma	தோப்பு	
08438928-n	tam:lemma	சோலை	
08462320-n	tam:lemma	தரவு	
08509111-n	tam:lemma	ஜங்கிள்	
08509111-n	tam:lemma	காட்டில்	
08510169-n	tam:lemma	ஈழம்	
08512259-n	tam:lemma	எல்லை	
08524735-n	tam:lemma	நகரம்	
08544813-n	tam:lemma	நாடு	
08552138-n	tam:lemma	பிரதேசம்	
08614229-n	tam:lemma	நெல்	
08614229-n	tam:lemma	வயல்	
