wiktionary-cldr-merge	bod	http://wiktionary.org/	CC BY-SA
08968879-n	bod:lemma	སོག་ཡུལ།	
08968677-n	bod:lemma	སོག་ཡུལ།	
08731423-n	bod:lemma	མེ་ཀའོ།	
08966820-n	bod:lemma	མཽ་རི་ཏ་ནི་ཡ།	
08966408-n	bod:lemma	མལ་ཊ།	
08966239-n	bod:lemma	མལ་ཊ།	
08967329-n	bod:lemma	མཽ་རིཤས྄།	
08967484-n	bod:lemma	མཽ་རིཤས྄།	
08965055-n	bod:lemma	མལ་དྭིབ།	
08965251-n	bod:lemma	མལ་དྭིབ།	
08962610-n	bod:lemma	མཱ་ལཱ་ཝི།	
08740875-n	bod:lemma	མེཀ་སི་ཀོ།	
08963369-n	bod:lemma	མ་ལེ་ཤི་ཡ།	
08971025-n	bod:lemma	མོ་ཛམ་བིག།	
08699654-n	bod:lemma	ན་མི་བི་ཡ།	
08973330-n	bod:lemma	ནའི་ཇར།	
08973776-n	bod:lemma	ནཱའི་ཇི་རི་ཡ།	
08738820-n	bod:lemma	ནི་ཀ་ར་གུ་ཨ།	
08949093-n	bod:lemma	ཧའོ་ལན།	
08764107-n	bod:lemma	ནོར་ཝེ།	
08906374-n	bod:lemma	བར་ཡུལ་	
08841483-n	bod:lemma	ནཽ་རུ།	
08841209-n	bod:lemma	ནཽ་རུ།	
08971914-n	bod:lemma	ནིའུ་ཛི་ལན྄ཌ།	
08972521-n	bod:lemma	ནིའུ་ཛི་ལན྄ཌ།	
08975106-n	bod:lemma	ཨོ་མན།	
08739206-n	bod:lemma	པ་ནཱ་མ།	
08979054-n	bod:lemma	པེ་རུ།	
08844557-n	bod:lemma	པ་པུ་ཨ།	
08981244-n	bod:lemma	ཕི་ལི་པིནས྄།	
08980300-n	bod:lemma	ཕི་ལི་པིནས྄།	
08975902-n	bod:lemma	པཀི་སྟཱན།	
08982587-n	bod:lemma	པོ་ལནྜ།	
08984788-n	bod:lemma	པོར་ཏུ་གྷལ།	
08977948-n	bod:lemma	པ་ལཽ།	
08978161-n	bod:lemma	པ་ལཽ།	
08978343-n	bod:lemma	པཱ་ར་གེ།	
08986905-n	bod:lemma	ཀ་ཏཱར།	
08986691-n	bod:lemma	ཀ་ཏཱར།	
08813978-n	bod:lemma	རོ་མཱ་ནིཡ།	
08816969-n	bod:lemma	སེར་བི་ཡ།	
09003284-n	bod:lemma	ཨུ་རུ་སུ་	
09006413-n	bod:lemma	ཨུ་རུ་སུ་	
09002814-n	bod:lemma	ཨུ་རུ་སུ་	
09007723-n	bod:lemma	ཨུ་རུ་སུ་	
08815046-n	bod:lemma	རུ་ཝན་ཌ།	
08993288-n	bod:lemma	སཽ་དྷི་ཨ་རཱ་བི་ཡ།	
08997976-n	bod:lemma	སོ་ལོ་མོན།	
08998233-n	bod:lemma	སོ་ལོ་མོན།	
08996284-n	bod:lemma	སཱ་ཤཻལ།	
08996483-n	bod:lemma	སཱ་ཤཻལ།	
09029242-n	bod:lemma	སུ་དཱན།	
09029457-n	bod:lemma	སུ་དཱན།	
08765890-n	bod:lemma	ཧྲུའི་ཏན།	
08997487-n	bod:lemma	སིངྒ་པུར།	
08997310-n	bod:lemma	སིངྒ་པུར།	
08997801-n	bod:lemma	སིངྒ་པུར།	
08818444-n	bod:lemma	ས་ལཽ་ཝེ་ནི་ཡ།	
08759013-n	bod:lemma	ས་ལཽ་ཝཀྱ།	
08996871-n	bod:lemma	སེ་ཡར་ར།	
08992181-n	bod:lemma	སན་མེ་རི་ནོ།	
08992508-n	bod:lemma	སན་མེ་རི་ནོ།	
08995862-n	bod:lemma	སེ་ནི་གྷལ།	
08998560-n	bod:lemma	སོ་མཱལི་ཡ།	
